영화제목,유통회사명,개봉년도,개봉월,총스크린수,관람객수,장르,등급,네이버_평점,씨네21_평점
그리고 우린 춤을 추었다,(주)엣나인필름,2020,11,79,7.0,드라마,15세이상관람가,8.26,6.8
레컨,주식회사 풍경소리,2021,2,9,7.0,전쟁,15세이상관람가,4.58,5.0
로맨틱 코미디,(주)영화사 안다미로,2020,12,28,5.0,다큐멘터리,12세이상관람가,7.2,6.0
삼진그룹 영어토익반,롯데컬처웍스(주)롯데엔터테인먼트,2020,10,1615,4.0,드라마,12세이상관람가,9.01,7.0
안티고네,"그린나래미디어(주),(주)키다리이엔티",2020,11,130,4.0,드라마,15세이상관람가,8.57,6.5
잔칫날,(주)트리플픽쳐스,2020,12,240,3.0,드라마,12세이상관람가,9.36,6.0
도망친 여자,"(주)영화제작전원사 ,(주)콘텐츠판다",2020,9,143,2.0,드라마,청소년관람불가,8.07,7.4
뱅가드,(주)디스테이션,2020,12,265,2.0,액션,12세이상관람가,3.41,3.67
썸머 85,찬란,2020,12,126,2.0,멜로/로맨스,15세이상관람가,8.59,7.25
더 허니문,주식회사 루믹스미디어,2021,2,1,1.0,SF,청소년관람불가,7.0,
무사: 400 vs 1,(주)콘텐트마인,2021,2,1,1.0,액션,15세이상관람가,5.14,
어쌔신 게임,(주)퍼스트런,2021,2,1,1.0,범죄,12세이상관람가,1.33,
미나리,판씨네마(주),2021,3,1162,841966.0,드라마,12세이상관람가,8.32,7.57
극장판 귀멸의 칼날: 무한열차편,워터홀컴퍼니(주),2021,1,380,620173.0,애니메이션,15세이상관람가,,6.0
고질라 VS. 콩,워너브러더스 코리아(주),2021,3,1295,400883.0,액션,12세이상관람가,8.89,5.75
라야와 마지막 드래곤,월트디즈니컴퍼니코리아 유한책임회사,2021,3,1056,303508.0,애니메이션,전체관람가,9.44,6.0
소울,월트디즈니컴퍼니코리아 유한책임회사,2021,1,2018,157646.0,애니메이션,전체관람가,9.32,8.5
미션 파서블,(주)메리크리스마스,2021,2,930,113421.0,코미디,15세이상관람가,8.41,4.5
더 박스,(주)씨네필운,2021,3,372,93198.0,드라마,12세이상관람가,5.39,5.33
카오스 워킹,롯데컬처웍스(주)롯데엔터테인먼트,2021,2,780,47051.0,어드벤처,15세이상관람가,7.36,5.0
최면,(주)스마일이엔티,2021,3,506,44118.0,공포(호러),15세이상관람가,,6.33
톰과 제리,워너브러더스 코리아(주),2021,2,918,44008.0,애니메이션,전체관람가,8.03,7.0
모리타니안,(주)디스테이션,2021,3,586,40506.0,스릴러,15세이상관람가,8.63,6.67
리스타트,(주)넥스트엔터테인먼트월드(NEW),2021,3,529,39371.0,액션,15세이상관람가,,6.0
자산어보,메가박스중앙(주)플러스엠,2021,3,1250,37650.0,사극,12세이상관람가,9.02,7.0
브레이브 언더 파이어,(주)박수엔터테인먼트,2021,3,203,14922.0,액션,12세이상관람가,7.5,5.5
몬테크리스토: 더 뮤지컬 라이브,"CGV ICECON,씨제이포디플렉스 주식회사",2021,3,90,14528.0,공연,12세이상관람가,9.38,
웨이 다운,(주)누리픽쳐스,2021,3,309,13743.0,액션,15세이상관람가,9.0,5.0
아이 씨 유,(주)홈초이스,2021,3,113,12810.0,스릴러,15세이상관람가,,5.5
고백,(주)리틀빅픽쳐스,2021,2,255,11604.0,드라마,15세이상관람가,8.0,8.0
페이트 스테이 나이트 헤븐즈필 제3장 스프링 송,(주)애니플러스,2020,10,149,10483.0,애니메이션,15세이상관람가,9.5,
정말 먼 곳,그린나래미디어(주),2021,3,204,8662.0,드라마,12세이상관람가,8.79,7.2
그녀가 사라졌다,(주)스튜디오디에이치엘,2021,3,143,7042.0,멜로/로맨스,12세이상관람가,8.4,5.5
스파이의 아내,M&M 인터내셔널,2021,3,120,7035.0,드라마,12세이상관람가,8.68,8.0
암모나이트,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2021,3,207,5820.0,드라마,청소년관람불가,8.9,6.67
파이터,㈜인디스토리,2021,3,74,5796.0,드라마,12세이상관람가,8.86,4.0
퍼펙트 케어,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹",2021,2,308,5761.0,범죄,15세이상관람가,9.06,6.0
더 레이서,(주)다자인소프트,2021,2,146,5647.0,드라마,15세이상관람가,8.2,6.5
아무도 없는 곳,(주)엣나인필름,2021,3,374,5077.0,드라마,15세이상관람가,7.75,5.67
워 위드 그랜파,"(주)키다리이엔티,(주)태양미디어그룹",2021,2,322,4835.0,코미디,12세이상관람가,7.88,5.5
라스트 레터,(주)스튜디오 산타클로스엔터테인먼트,2021,2,160,4528.0,멜로/로맨스,전체관람가,8.3,6.17
아르코 라이브 뮤지컬 호프,(주)아이디어랩,2021,3,10,4509.0,공연,12세이상관람가,,
내일도 우린 사랑하고 있을까,(주)디스테이션,2021,3,129,4451.0,드라마,12세이상관람가,7.57,4.0
와일드 마운틴 타임,"(주)영화사 빅,(주)태양미디어그룹",2021,3,272,4072.0,멜로/로맨스,12세이상관람가,8.03,5.67
"조제, 호랑이 그리고 물고기들",(주)팝엔터테인먼트,2021,3,388,4001.0,애니메이션,12세이상관람가,7.77,7.0
쁘떼뜨,예지림엔터테인먼트,2021,3,105,3915.0,멜로/로맨스,12세이상관람가,9.78,6.0
해길랍,오드,2021,3,223,3844.0,멜로/로맨스,15세이상관람가,7.88,6.0
커피 오어 티,(주)넥스트엔터테인먼트월드(NEW),2021,3,119,3766.0,코미디,12세이상관람가,5.83,4.5
랜드,유니버설픽쳐스인터내셔널 코리아(유),2021,3,25,3722.0,드라마,12세이상관람가,9.13,6.0
국카스텐 콘서트 실황 : 해프닝,CGV ICECON,2021,3,54,3485.0,공연,전체관람가,,
유어 아이즈 텔,"(주)리틀빅픽쳐스,주식회사 더쿱",2021,3,103,3370.0,멜로/로맨스,15세이상관람가,9.54,5.0
아수라도,(주)제이앤씨미디어그룹,2021,3,101,3166.0,액션,청소년관람불가,9.6,2.0
프라미싱 영 우먼,유니버설픽쳐스인터내셔널 코리아(유),2021,2,70,2905.0,범죄,15세이상관람가,7.83,7.0
라라의 신비한 모험,와이드 릴리즈(주),2021,3,165,2808.0,애니메이션,전체관람가,8.33,
부활: 그 증거,(주)영화사 진진,2020,10,111,2715.0,다큐멘터리,전체관람가,9.82,4.0
잃어버린 얼굴 1895,(재)서울예술단,2021,2,63,2613.0,뮤지컬,전체관람가,7.08,4.0
트웬티 해커,(주)도어이앤엠,2021,3,74,2301.0,액션,15세이상관람가,5.96,
어니스트 씨프,(주)올스타엔터테인먼트,2021,2,554,2278.0,액션,15세이상관람가,8.65,4.0
극장판 페이트/그랜드 오더 신성원탁영역 카멜롯 완더링; 아가트람,(주)애니플러스,2021,2,91,2181.0,애니메이션,15세이상관람가,6.08,
디 아더 사이드,찬란,2021,3,20,2112.0,공포(호러),12세이상관람가,,5.0
세자매,(주)리틀빅픽쳐스,2021,1,569,2094.0,드라마,15세이상관람가,8.95,5.0
아이카,(주)디오시네마,2021,3,38,2090.0,드라마,12세이상관람가,9.22,7.0
더블패티,"케이티하이텔(주),판씨네마(주)",2021,2,265,2043.0,드라마,15세이상관람가,9.14,5.0
북스마트,(주)콘텐츠판다,2021,1,163,1951.0,코미디,15세이상관람가,8.49,6.5
원초적 본능,(주)제이앤씨미디어그룹,2021,3,32,1927.0,미스터리,청소년관람불가,6.27,7.13
타오르는 여인의 초상,"그린나래미디어(주),(주)홈초이스",2020,1,120,1914.0,드라마,15세이상관람가,9.15,9.5
반딧불이 딘딘과 용감한 곤충 탐험대,(주)씨네필운,2021,3,99,1849.0,애니메이션,전체관람가,7.09,4.5
빛과 철,찬란,2021,2,161,1801.0,드라마,12세이상관람가,8.37,6.5
조제,워너브러더스 코리아(주),2020,12,1179,1746.0,멜로/로맨스,15세이상관람가,8.2,5.6
포제서,(주)제이앤씨미디어그룹,2021,3,80,1654.0,스릴러,청소년관람불가,7.4,6.5
새해전야,(주)에이스메이커무비웍스,2021,2,906,1633.0,멜로/로맨스,12세이상관람가,8.38,5.5
리틀드래곤 코코넛2: 정글대탐험,(주)팝엔터테인먼트,2021,2,147,1621.0,애니메이션,전체관람가,6.5,6.0
해변의 에트랑제,(주)팝엔터테인먼트,2021,2,92,1606.0,애니메이션,15세이상관람가,9.17,
헬렌: 내 영혼의 자화상,(주)영화사 진진,2021,2,40,1566.0,드라마,12세이상관람가,8.13,6.5
인천스텔라,(주)영화사 그램,2021,3,50,1060.0,SF,12세이상관람가,7.8,4.0
멀리가지마라,(주)영화사오원,2021,3,34,1046.0,코미디,15세이상관람가,7.28,4.5
"구라, 베토벤",목영이엔엠,2021,2,11,992.0,기타,15세이상관람가,,5.0
시간의 끝에서 널 기다려,(주)디스테이션,2021,2,111,932.0,드라마,12세이상관람가,,5.0
신 테니스의 왕자 효테이 vs 릿카이 : 게임 오브 퓨처 전편,(주)얼리버드픽쳐스,2021,3,60,883.0,애니메이션,전체관람가,8.5,
나는 나를 해고하지 않는다,(주)영화사 진진,2021,1,313,831.0,드라마,12세이상관람가,8.17,6.8
밤빛,영화배급협동조합 씨네소파,2021,3,31,772.0,드라마,전체관람가,8.0,6.0
더 터널,예지림엔터테인먼트,2021,3,36,768.0,액션,12세이상관람가,,4.67
모추어리 컬렉션,(주)이놀미디어,2021,1,115,746.0,판타지,청소년관람불가,6.36,6.25
117편의 러브레터,알토미디어(주),2021,3,18,720.0,멜로/로맨스,15세이상관람가,8.6,6.25
아일로,(주)에스와이코마드,2021,3,25,655.0,다큐멘터리,전체관람가,9.46,6.0
신패왕화 : 예스마담,라온아이(주),2021,3,5,620.0,액션,15세이상관람가,0.0,
레컨,주식회사 풍경소리,2021,2,20,606.0,전쟁,15세이상관람가,4.58,5.0
극장판 바이올렛 에버가든,(주)라이크콘텐츠,2020,11,131,484.0,애니메이션,전체관람가,9.53,6.5
주세페 베르디의 '레퀴엠',일미디어,2021,3,11,472.0,공연,전체관람가,,
드림빌더,(주)트리플픽쳐스,2021,2,327,435.0,애니메이션,전체관람가,8.79,6.0
정브르의 동물일기,CGV ICECON,2021,2,51,429.0,다큐멘터리,전체관람가,8.5,
특명: 스피드 레스큐,와이드 릴리즈(주),2021,3,21,427.0,액션,15세이상관람가,3.09,
턴: 더 스트릿,(주)26컴퍼니,2021,3,27,414.0,드라마,12세이상관람가,8.33,
UFO 스케치,(주)마노엔터테인먼트,2021,3,10,404.0,다큐멘터리,전체관람가,9.06,7.0
디지몬 어드벤처 : 라스트 에볼루션 인연,(주)얼리버드픽쳐스,2021,2,70,396.0,애니메이션,12세이상관람가,,
실종: 사라진 사람들,(주)제이앤씨미디어그룹,2021,3,30,348.0,공포(호러),15세이상관람가,2.55,
아홉수 로맨스,(주)스튜디오 보난자,2021,2,24,342.0,멜로/로맨스,12세이상관람가,9.8,4.5
아이,롯데컬처웍스(주)롯데엔터테인먼트,2021,2,504,334.0,드라마,15세이상관람가,,6.0
그리고 방행자,"주식회사 블루필름웍스,THE 픽쳐스",2021,3,7,323.0,다큐멘터리,12세이상관람가,9.83,5.0
람보-특별판,(주)제이앤씨미디어그룹,2021,3,21,321.0,액션,15세이상관람가,8.93,
페어웰,오드,2021,2,162,321.0,가족,전체관람가,,6.67
스푸트닉,(주)제이앤씨미디어그룹,2021,2,83,301.0,SF,15세이상관람가,5.9,6.0
유공자,M&M 인터내셔널,2021,3,4,287.0,드라마,15세이상관람가,8.71,
마리오네트,(주)이놀미디어,2021,2,138,230.0,미스터리,12세이상관람가,,3.0
3개의 얼굴들,주식회사 플릭스코,2021,3,5,227.0,드라마,15세이상관람가,8.45,
방황하는 네덜란드인,(주)케빈앤컴퍼니,2021,2,7,206.0,공연,12세이상관람가,0.0,
세상의 모든 디저트: 러브 사라,(주)티캐스트,2021,2,117,204.0,드라마,12세이상관람가,7.4,5.5
출동! 시크릿 보틀 수호대,씨제이포디플렉스 주식회사,2021,3,10,196.0,애니메이션,전체관람가,,
스매시 앤 그랩: 보석강도단 핑크 팬더,독포레스트,2021,3,9,189.0,다큐멘터리,12세이상관람가,7.25,5.5
BBC프롬스: 그라치니테-틸라와 버밍엄 심포니,(주)케빈앤컴퍼니,2021,3,11,180.0,공연,전체관람가,,
몬스터 헌터,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2021,2,668,162.0,액션,12세이상관람가,0.0,4.5
시 읽는 시간,(주)마노엔터테인먼트,2021,3,15,155.0,다큐멘터리,12세이상관람가,9.58,6.0
송가인 더 드라마,(주)영화특별시에스엠씨,2021,2,117,137.0,공연,전체관람가,9.08,
극장판 기븐,(주)애니플러스,2020,11,103,116.0,애니메이션,15세이상관람가,,5.0
노가리,(주)드림팩트엔터테인먼트,2021,3,4,115.0,드라마,12세이상관람가,6.74,3.5
인싸,"(주)액티버스엔터테인먼트,예지림엔터테인먼트",2021,3,10,109.0,액션,12세이상관람가,4.63,
간이역,(주)드림팩트엔터테인먼트,2021,2,48,108.0,드라마,12세이상관람가,7.4,3.5
인투 더 미러,(주)팝엔터테인먼트,2021,2,219,108.0,SF,15세이상관람가,10.0,5.33
킬러파티 (양수리 살인사건),CGV ICECON,2021,3,12,104.0,공연,15세이상관람가,9.53,
살아남은 사람들,알토미디어(주),2021,2,35,103.0,드라마,15세이상관람가,8.0,6.33
바바 야가: 숲의 악령,주식회사 풍경소리,2021,2,5,80.0,공포(호러),15세이상관람가,6.5,
라이브 하드,(주)드림팩트엔터테인먼트,2021,2,10,72.0,드라마,15세이상관람가,8.07,6.5
루시드 드림,(주)라온컴퍼니플러스,2021,3,1,60.0,판타지,15세이상관람가,0.0,3.0
내언니전지현과 나,호우주의보,2020,12,36,59.0,다큐멘터리,12세이상관람가,9.21,6.67
오늘부터 우리는!!,(주)미디어캐슬,2021,3,3,49.0,코미디,15세이상관람가,6.23,6.0
엘프,(주)박수엔터테인먼트,2021,2,228,47.0,애니메이션,전체관람가,8.78,5.0
끝난 사람,(주)미디어캐슬,2021,3,3,44.0,코미디,12세이상관람가,5.0,
용루각2: 신들의 밤,(주)그노스,2021,2,20,40.0,액션,15세이상관람가,3.32,
ARKO LIVE 뮤지컬 시데레우스,(주)아이디어랩,2021,2,14,37.0,뮤지컬,전체관람가,,
프로젝트 마스,(주)블루라벨픽쳐스,2021,3,5,32.0,SF,12세이상관람가,4.33,
관계의 가나다에 있는 우리는,(주)시네마달,2021,1,39,28.0,드라마,전체관람가,8.38,5.5
센코롤 커넥트,(주)미디어캐슬,2021,3,3,28.0,애니메이션,12세이상관람가,0.0,
찬실이는 복도 많지,찬란,2020,3,241,26.0,드라마,전체관람가,9.16,7.0
라스트 특공대,(주)제이앤씨미디어그룹,2021,2,5,18.0,전쟁,15세이상관람가,8.67,
귀여운 남자,(주)드림팩트엔터테인먼트,2021,1,41,14.0,코미디,15세이상관람가,5.38,
남매의 여름밤,그린나래미디어(주),2020,8,133,12.0,드라마,전체관람가,9.07,7.83
폴리스,(주)퍼스트런,2021,2,10,9.0,드라마,15세이상관람가,3.75,3.0
미드나잇 버스,(주)라이크콘텐츠,2021,2,26,8.0,드라마,12세이상관람가,8.42,6.0
겨울밤에,㈜인디스토리,2020,12,49,7.0,드라마,12세이상관람가,7.84,7.4
극장판 바다 탐험대 옥토넛 : 대산호초 보호작전,와이드 릴리즈(주),2020,11,187,7.0,애니메이션,전체관람가,9.0,7.0
"오늘, 우리 2",필름다빈,2021,1,14,7.0,드라마,12세이상관람가,8.11,5.5
제이티 르로이,(주)영화사 빅,2021,1,93,6.0,드라마,15세이상관람가,8.17,5.67
호프,(주)이놀미디어,2020,12,171,6.0,드라마,12세이상관람가,,6.5
더 킹: 독립 전쟁,(주)액티버스엔터테인먼트,2021,3,5,5.0,전쟁,15세이상관람가,7.0,
스트레스 제로,(주)트리플픽쳐스,2021,2,156,5.0,애니메이션,전체관람가,8.44,5.5
운디네,M&M 인터내셔널,2020,12,42,5.0,드라마,12세이상관람가,8.38,8.0
음악,(주)미디어캐슬,2021,1,1,5.0,애니메이션,12세이상관람가,,
블라인드,주식회사 컨텐츠썬,2021,1,239,2.0,드라마,15세이상관람가,9.35,5.67
아이 엠 우먼,(주)팝엔터테인먼트,2021,1,494,2.0,드라마,15세이상관람가,9.43,6.0
파힘,(주)디스테이션,2021,1,165,2.0,드라마,전체관람가,8.16,5.33
노 맨스 랜드,(주)영화사 안다미로,2021,3,1,1.0,액션,15세이상관람가,8.32,7.33
버스납치 리턴즈,(주)영진크리에이티브,2021,3,1,1.0,코미디,12세이상관람가,0.0,
사일런싱,(주)홈초이스,2021,1,89,1.0,공포(호러),15세이상관람가,,
솔져스 리벤지,(주)퍼스트런,2021,3,1,1.0,액션,15세이상관람가,7.0,
스카이라인: 라스트 워,(주)영화사 안다미로,2021,3,1,1.0,SF,15세이상관람가,4.12,
요요현상,영화배급협동조합 씨네소파,2021,1,27,1.0,다큐멘터리,전체관람가,9.33,6.67
이 안에 외계인이 있다,"(주)스톰픽쳐스코리아,와이드 릴리즈(주)",2021,2,121,1.0,코미디,12세이상관람가,8.91,4.5
주짓수,(주)영화사 안다미로,2021,3,1,1.0,액션,15세이상관람가,2.74,
300: 전사의 귀환,(주)영화사 안다미로,2021,3,1,1.0,액션,15세이상관람가,1.82,
서복,(주)씨제이이엔엠,2021,4,1382,367563.0,드라마,15세이상관람가,8.18,5.2
극장판 귀멸의 칼날: 무한열차편,워터홀컴퍼니(주),2021,1,380,346575.0,애니메이션,15세이상관람가,,6.0
고질라 VS. 콩,워너브러더스 코리아(주),2021,3,1295,299184.0,액션,12세이상관람가,8.89,5.75
자산어보,메가박스중앙(주)플러스엠,2021,3,1250,292050.0,사극,12세이상관람가,9.02,7.0
내일의 기억,"(주)아이필름코퍼레이션,씨제이 씨지브이(CJ CGV)(주)",2021,4,957,207232.0,미스터리,15세이상관람가,8.76,6.0
명탐정 코난: 비색의 탄환,(주)씨제이이엔엠,2021,4,844,153095.0,애니메이션,12세이상관람가,9.04,
미나리,판씨네마(주),2021,3,1162,142400.0,드라마,12세이상관람가,8.32,7.57
노바디,유니버설픽쳐스인터내셔널 코리아(유),2021,4,505,128963.0,액션,15세이상관람가,8.12,6.0
비와 당신의 이야기,"소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,(주)키다리이엔티",2021,4,956,83528.0,드라마,전체관람가,7.87,5.0
더 스파이,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹",2021,4,710,62028.0,스릴러,15세이상관람가,8.56,6.0
